Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,112.790001,114.910004,112.529999,113.290001,99.652382,11792300
2016-12-02,113.199997,113.809998,112.279999,113.000000,99.397285,6167400
2016-12-05,113.389999,114.480003,113.029999,113.250000,99.617188,6909800
2016-12-06,112.389999,113.489998,112.209999,112.760002,99.186172,6033600
2016-12-07,113.040001,114.480003,112.820000,114.440002,100.663948,6434100
2016-12-08,114.730003,115.400002,114.199997,115.169998,101.306053,5519700
2016-12-09,114.989998,115.989998,114.970001,115.809998,101.869019,5771600
2016-12-12,117.769997,118.989998,116.570000,117.150002,103.047722,10044700
2016-12-13,117.900002,118.309998,116.029999,117.419998,103.285210,8644200
2016-12-14,116.709999,117.879997,115.760002,115.959999,102.000954,7878400
2016-12-15,115.629997,117.389999,115.360001,117.050003,102.959755,7458300
2016-12-16,117.839996,118.580002,117.419998,118.080002,103.865768,13752300
2016-12-19,118.370003,118.449997,117.419998,117.650002,103.487541,5772500
2016-12-20,117.849998,118.629997,117.669998,117.949997,103.751404,4319100
2016-12-21,118.339996,119.000000,117.860001,117.910004,103.716217,5024600
2016-12-22,117.940002,118.989998,117.769997,118.769997,104.472694,4992500
2016-12-23,118.410004,118.699997,118.050003,118.419998,104.164833,2682900
2016-12-27,118.500000,118.900002,118.110001,118.220001,103.988907,2986900
2016-12-28,118.309998,118.860001,117.750000,117.910004,103.716217,4086700
2016-12-29,118.010002,118.419998,117.480003,117.820000,103.637070,3214500
2016-12-30,117.440002,118.239998,117.309998,117.699997,103.531509,5020500
2017-01-03,118.379997,119.000000,116.589996,117.849998,103.663445,7404800
2017-01-04,118.410004,118.650002,117.599998,117.820000,103.637070,6679900
2017-01-05,118.000000,118.480003,116.720001,117.309998,103.188446,5928600
2017-01-06,117.449997,117.580002,116.379997,116.839996,102.775024,4762500
2017-01-09,116.290001,116.360001,115.110001,115.839996,101.895409,6891800
2017-01-10,115.559998,116.389999,114.889999,114.959999,101.121361,6184400
2017-01-11,115.150002,116.449997,114.860001,115.930000,101.974571,6158200
2017-01-12,116.500000,116.989998,115.410004,116.160004,102.176895,4940000
2017-01-13,115.860001,116.879997,115.610001,116.379997,102.370384,4953000
2017-01-17,116.400002,116.769997,116.110001,116.279999,102.282433,4669700
2017-01-18,115.680000,116.040001,115.400002,115.940002,101.983368,4855300
2017-01-19,115.889999,115.959999,115.290001,115.580002,101.666695,3427800
2017-01-20,116.320000,116.750000,115.339996,115.599998,101.684303,6730900
2017-01-23,115.120003,115.959999,114.989998,115.389999,101.499588,5104100
2017-01-24,115.849998,117.110001,115.610001,116.370003,102.361610,5024400
2017-01-25,116.900002,117.430000,116.339996,117.239998,103.126877,5276800
2017-01-26,117.500000,117.820000,116.500000,116.550003,102.519951,6937300
2017-01-27,113.529999,114.699997,112.849998,113.790001,100.092186,11698900
2017-01-30,113.150002,113.800003,110.720001,111.820000,98.359329,8252900
2017-01-31,111.889999,112.199997,110.760002,111.349998,97.945915,7951000
2017-02-01,111.199997,111.779999,110.839996,111.000000,97.638031,5889300
2017-02-02,111.169998,112.239998,110.709999,112.209999,98.702370,6289000
2017-02-03,112.410004,114.279999,112.139999,113.570000,99.898674,6623500
2017-02-06,113.279999,113.500000,112.449997,112.980003,99.379692,5637300
2017-02-07,112.980003,113.099998,111.110001,111.389999,97.981087,6038400
2017-02-08,111.129997,111.790001,110.320000,111.580002,98.148224,5188800
2017-02-09,111.580002,112.629997,111.580002,112.260002,98.746368,4607800
2017-02-10,112.750000,113.449997,112.370003,113.050003,99.441269,6194300
2017-02-13,113.360001,113.989998,113.050003,113.910004,100.197746,4858500
2017-02-14,112.680000,113.070000,111.779999,112.519997,99.922447,5811200
2017-02-15,112.209999,113.239998,112.209999,112.570000,99.966850,7048100
2017-02-16,112.989998,112.989998,110.430000,110.680000,98.288445,9478200
2017-02-17,110.419998,110.570000,109.269997,110.330002,97.977638,8111000
2017-02-21,110.730003,112.309998,110.599998,111.720001,99.212013,6619100
2017-02-22,111.190002,111.779999,110.309998,110.379997,98.022034,5732000
2017-02-23,111.339996,111.830002,110.750000,111.019997,98.590378,8659700
2017-02-24,110.900002,111.019997,109.470001,110.120003,97.791145,6189400
2017-02-27,110.650002,112.269997,110.370003,111.750000,99.238663,7275800
2017-02-28,111.660004,112.760002,111.489998,112.500000,99.904694,7030200
2017-03-01,112.919998,114.389999,112.879997,113.879997,101.130180,7353800
2017-03-02,113.669998,114.269997,113.309998,113.360001,100.668404,5892500
2017-03-03,113.360001,113.889999,113.209999,113.550003,100.837135,4905600
2017-03-06,113.250000,113.500000,112.669998,113.169998,100.499680,4731900
2017-03-07,113.540001,113.879997,111.690002,111.809998,99.291931,6660300
2017-03-08,111.680000,111.919998,109.400002,109.610001,97.338257,9071600
2017-03-09,109.309998,110.169998,108.510002,110.040001,97.720116,7247400
2017-03-10,111.400002,111.410004,109.440002,110.610001,98.226280,6560300
2017-03-13,110.510002,110.809998,109.309998,109.349998,97.107353,6369300
2017-03-14,108.470001,108.570000,107.120003,107.360001,95.340141,9935700
2017-03-15,108.080002,108.980003,107.540001,108.879997,96.689980,9472100
2017-03-16,108.809998,108.879997,107.440002,107.860001,95.784164,8894700
2017-03-17,108.000000,108.419998,107.680000,107.680000,95.624321,14353400
