Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,77.570000,77.620003,75.250000,75.430000,73.822746,21053000
2016-12-02,75.400002,76.250000,75.169998,75.720001,74.106567,13629600
2016-12-05,76.629997,77.599998,76.550003,77.309998,75.662704,12119200
2016-12-06,77.940002,77.970001,76.709999,77.110001,75.466942,13896600
2016-12-07,77.269997,79.489998,77.250000,79.309998,77.620064,13919800
2016-12-08,79.680000,79.870003,78.970001,79.279999,77.590706,13320100
2016-12-09,79.150002,79.930000,78.830002,79.139999,77.453682,10728300
2016-12-12,78.989998,79.029999,77.919998,78.500000,76.827324,11942300
2016-12-13,78.809998,79.500000,78.250000,79.199997,77.512421,12995100
2016-12-14,79.279999,79.980003,79.120003,79.129997,77.443901,20146200
2016-12-15,79.370003,80.389999,79.129997,79.500000,77.806038,14070900
2016-12-16,79.220001,79.459999,78.169998,78.349998,76.680527,19141700
2016-12-19,78.040001,78.599998,78.019997,78.099998,76.435852,8699100
2016-12-20,78.410004,78.580002,77.690002,78.360001,76.690315,6917400
2016-12-21,78.480003,78.550003,77.980003,78.139999,76.474991,9343600
2016-12-22,78.019997,78.059998,77.190002,77.900002,76.240112,12074000
2016-12-23,78.080002,78.480003,77.900002,78.150002,76.484787,6192900
2016-12-27,78.269997,78.849998,78.230003,78.349998,76.680527,3776000
2016-12-28,78.400002,78.650002,77.970001,78.300003,76.631599,7587100
2016-12-29,78.489998,78.839996,78.300003,78.330002,76.660957,6241100
2016-12-30,78.430000,78.540001,77.940002,78.019997,76.357567,7127300
2017-01-03,78.760002,79.910004,78.489998,79.500000,77.806038,13785200
2017-01-04,79.440002,80.260002,79.360001,80.150002,78.442184,8033100
2017-01-05,80.339996,81.529999,80.220001,81.089996,79.362129,7805100
2017-01-06,81.300003,82.489998,80.940002,82.209999,80.458282,8898300
2017-01-09,82.279999,82.449997,81.650002,81.750000,80.008072,7305300
2017-01-10,81.699997,81.900002,81.129997,81.309998,79.577461,6017500
2017-01-11,81.250000,81.800003,80.910004,81.800003,80.057022,7499200
2017-01-12,81.050003,81.470001,80.510002,81.370003,79.636169,6884000
2017-01-13,81.019997,81.849998,80.790001,81.169998,79.440445,7291200
2017-01-17,80.760002,81.489998,80.760002,81.260002,79.528503,6326500
2017-01-18,81.269997,81.830002,80.980003,81.589996,79.851486,8512300
2017-01-19,81.790001,81.849998,81.410004,81.730003,79.988518,6479400
2017-01-20,82.089996,82.279999,81.610001,81.839996,80.096153,9048500
2017-01-23,81.699997,82.300003,81.500000,82.150002,80.399544,7414200
2017-01-24,82.400002,83.489998,81.849998,83.230003,81.456551,8397500
2017-01-25,83.790001,84.269997,83.449997,83.900002,82.112274,9360900
2017-01-26,83.919998,83.919998,83.080002,83.239998,81.466331,8428200
2017-01-27,83.320000,83.800003,82.919998,83.769997,81.985039,5445900
2017-01-30,83.470001,83.739998,82.660004,83.699997,81.916519,8792800
2017-01-31,82.129997,83.279999,82.099998,82.709999,80.947617,7479400
2017-02-01,82.900002,83.089996,82.050003,82.440002,80.683380,7534400
2017-02-02,82.139999,82.699997,81.570000,82.300003,80.546349,11142300
2017-02-03,85.739998,86.820000,85.110001,86.080002,84.245827,28079600
2017-02-06,86.070000,86.099998,85.510002,85.830002,84.001152,9665300
2017-02-07,85.959999,86.349998,85.669998,85.779999,83.952209,8600300
2017-02-08,85.800003,85.839996,85.080002,85.089996,83.276909,7587700
2017-02-09,85.370003,85.769997,84.879997,85.580002,83.756462,6554700
2017-02-10,85.800003,86.139999,85.230003,85.900002,84.069649,10432000
2017-02-13,86.199997,86.699997,86.000000,86.440002,84.598152,6046300
2017-02-14,86.519997,86.970001,86.260002,86.849998,84.999413,5952000
2017-02-15,87.019997,87.540001,86.699997,87.540001,85.837799,8049700
2017-02-16,87.550003,87.680000,86.790001,87.410004,85.710320,8680600
2017-02-17,87.269997,87.680000,86.980003,87.459999,85.759354,5887200
2017-02-21,87.510002,88.040001,87.169998,87.919998,86.210403,9301300
2017-02-22,87.610001,88.150002,87.510002,87.800003,86.092735,8389900
2017-02-23,88.230003,88.489998,87.870003,88.180000,86.465332,6040500
2017-02-24,87.360001,88.430000,87.300003,88.430000,86.710480,5151300
2017-02-27,88.320000,88.379997,87.910004,88.000000,86.288849,6131600
2017-02-28,88.160004,88.379997,87.760002,87.940002,86.230026,8521900
2017-03-01,88.739998,89.139999,88.419998,88.989998,87.259575,11131400
2017-03-02,89.000000,89.129997,88.099998,88.529999,86.808533,10544200
2017-03-03,88.309998,88.910004,88.180000,88.790001,87.063484,5700600
2017-03-06,88.529999,89.269997,88.269997,88.940002,87.210571,7347600
2017-03-07,88.989998,89.300003,88.849998,89.059998,87.328224,5688400
2017-03-08,89.169998,89.300003,88.870003,88.959999,87.230179,5866800
2017-03-09,89.019997,89.500000,88.709999,89.110001,87.377266,5953900
2017-03-10,89.500000,89.860001,89.099998,89.730003,87.985199,12246700
2017-03-13,89.800003,90.309998,89.610001,90.110001,88.357811,8944100
2017-03-14,89.930000,90.029999,89.239998,89.550003,87.808708,6009400
2017-03-15,89.750000,90.099998,89.410004,89.919998,88.171516,6350700
2017-03-16,90.309998,90.330002,89.470001,90.040001,88.289177,9174400
2017-03-17,90.250000,90.629997,90.169998,90.239998,88.485291,8613400
2017-03-20,90.290001,92.050003,88.970001,89.180000,87.445900,9438000
2017-03-21,89.489998,89.709999,88.000000,88.059998,86.347679,11092100
2017-03-22,87.849998,89.040001,87.849998,88.519997,86.798721,7828600
2017-03-23,88.470001,89.389999,88.419998,88.860001,87.132118,7710700
2017-03-24,89.059998,89.610001,88.970001,89.190002,87.455704,7597600
2017-03-27,88.309998,88.989998,88.070000,88.949997,87.220360,5230000
2017-03-28,89.120003,89.419998,88.489998,89.120003,87.387062,7045500
2017-03-29,88.989998,89.389999,88.559998,89.180000,87.445900,4738000
2017-03-30,89.080002,89.099998,88.599998,89.010002,87.279205,6227100
2017-03-31,88.980003,89.349998,88.870003,88.870003,87.141930,6429800
2017-04-03,89.139999,89.459999,88.400002,89.360001,87.622398,9125800
2017-04-04,89.010002,89.330002,88.660004,88.779999,87.053680,4859900
2017-04-05,89.129997,90.199997,88.949997,89.029999,87.298820,7251600
2017-04-06,89.000000,89.260002,88.779999,89.089996,87.357651,8473900
2017-04-07,88.970001,89.239998,88.519997,88.739998,87.014442,5439500
2017-04-10,88.620003,89.250000,88.519997,88.860001,87.132118,5999400
2017-04-11,88.599998,88.849998,88.129997,88.849998,87.122307,7058500
2017-04-12,88.699997,89.209999,88.559998,88.680000,86.955612,5912500
2017-04-13,88.470001,89.779999,88.430000,88.870003,87.141930,7242700
2017-04-17,89.089996,89.900002,88.750000,89.809998,88.063652,6122800
2017-04-18,89.639999,89.919998,89.239998,89.730003,87.985199,6823500
2017-04-19,90.089996,90.620003,89.599998,89.750000,88.004814,7301300
2017-04-20,90.139999,91.500000,89.900002,91.150002,89.377586,12178300
2017-04-21,92.769997,92.800003,91.019997,91.150002,89.377586,19442600
2017-04-24,92.150002,92.500000,91.010002,91.849998,90.063988,11705400
2017-04-25,91.989998,92.349998,91.580002,92.110001,90.318932,7769200
